#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
80              213             ok                      ok                      2.7660527949e-03        5.2342693288e+02        7.1045029369e+16        3.8275521531e+16        2.3281892349e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
81              206             ok                      ok                      3.4267602534e-03        5.2781827608e+02        8.7282886550e+16        4.7023615146e+16        2.3281919422e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
82              200             ok                      ok                      4.2452862274e-03        5.3310215727e+02        1.0705988889e+17        5.7678406583e+16        2.3281943433e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
83              194             ok                      ok                      5.2593277089e-03        5.3942473153e+02        1.3107804883e+17        7.0618110930e+16        2.3281961566e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
84              190             ok                      ok                      6.5155861036e-03        5.4694249713e+02        1.6015576746e+17        8.6283655578e+16        2.3281970879e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
85              187             ok                      ok                      8.0719180519e-03        5.5581827887e+02        1.9524263112e+17        1.0518665305e+17        2.3281969201e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
86              185             ok                      ok                      1.0000000000e-02        5.6621584782e+02        2.3743703953e+17        1.2791889425e+17        2.3281956183e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
87              186             ok                      ok                      1.2388629240e-02        5.7829343552e+02        2.8800834947e+17        1.5516426576e+17        2.3281934511e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
88              190             ok                      ok                      1.5347813444e-02        5.9219661660e+02        3.4842570657e+17        1.8771427791e+17        2.3281908464e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
89              192             ok                      ok                      1.9013837041e-02        6.0805117395e+02        4.2039611297e+17        2.2648860323e+17        2.3281879312e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
